day,height,genomic,RU,biolrepeat,VAR00001,foxnull,treated,repetition,VAR00002,expo,treatdaysint,treatgeneint,daygeneint
5,3,foxonull,A,a, ,1,0,1,-1.52,0.218711887,0,0,5
5,3,foxonull,A,a, ,1,0,1, , ,0,0,5
5,3,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,2,foxonull,A,a, ,1,0,1, , ,0,0,5
5,1,foxonull,A,a, ,1,0,1, , ,0,0,5
5,1,foxonull,A,a, ,1,0,1, , ,0,0,5
5,3,foxonull,P,a, ,1,1,1, , ,5,1,5
5,3,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,2,foxonull,P,a, ,1,1,1, , ,5,1,5
5,1,foxonull,P,a, ,1,1,1, , ,5,1,5
5,1,foxonull,P,a, ,1,1,1, , ,5,1,5
5,3,wt,A,a, ,0,0,1, , ,0,0,0
5,3,wt,A,a, ,0,0,1, , ,0,0,0
5,3,wt,A,a, ,0,0,1, , ,0,0,0
5,3,wt,A,a, ,0,0,1, , ,0,0,0
5,3,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,2,wt,A,a, ,0,0,1, , ,0,0,0
5,3,wt,P,a, ,0,1,1, , ,5,0,0
5,3,wt,P,a, ,0,1,1, , ,5,0,0
5,3,wt,P,a, ,0,1,1, , ,5,0,0
5,3,wt,P,a, ,0,1,1, , ,5,0,0
5,3,wt,P,a, ,0,1,1, , ,5,0,0
5,3,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,2,wt,P,a, ,0,1,1, , ,5,0,0
5,1,wt,P,a, ,0,1,1, , ,5,0,0
7,3,foxonull,A,a, ,1,0,1, , ,0,0,7
7,3,foxonull,A,a, ,1,0,1, , ,0,0,7
7,3,foxonull,A,a, ,1,0,1, , ,0,0,7
7,3,foxonull,A,a, ,1,0,1, , ,0,0,7
7,2,foxonull,A,a, ,1,0,1, , ,0,0,7
7,2,foxonull,A,a, ,1,0,1, , ,0,0,7
7,2,foxonull,A,a, ,1,0,1, , ,0,0,7
7,2,foxonull,A,a, ,1,0,1, , ,0,0,7
7,1,foxonull,A,a, ,1,0,1, , ,0,0,7
7,1,foxonull,A,a, ,1,0,1, , ,0,0,7
7,1,foxonull,A,a, ,1,0,1, , ,0,0,7
7,1,foxonull,A,a, ,1,0,1, , ,0,0,7
7,1,foxonull,A,a, ,1,0,1, , ,0,0,7
7,1,foxonull,A,a, ,1,0,1, , ,0,0,7
7,3,foxonull,P,a, ,1,1,1, , ,7,1,7
7,3,foxonull,P,a, ,1,1,1, , ,7,1,7
7,3,foxonull,P,a, ,1,1,1, , ,7,1,7
7,3,foxonull,P,a, ,1,1,1, , ,7,1,7
7,3,foxonull,P,a, ,1,1,1, , ,7,1,7
7,3,foxonull,P,a, ,1,1,1, , ,7,1,7
7,3,foxonull,P,a, ,1,1,1, , ,7,1,7
7,2,foxonull,P,a, ,1,1,1, , ,7,1,7
7,2,foxonull,P,a, ,1,1,1, , ,7,1,7
7,2,foxonull,P,a, ,1,1,1, , ,7,1,7
7,2,foxonull,P,a, ,1,1,1, , ,7,1,7
7,1,foxonull,P,a, ,1,1,1, , ,7,1,7
