Genotype,Food,Sumfeeding,Sumnonfeeding,G69,foodcode,feeding_percentage,Y0.2,Y1,Y2
G69,0.2Y,15,65,1,0,18.75,1,0,0
G69,0.2Y,20,60,1,0,25,1,0,0
G69,0.2Y,32,48,1,0,40,1,0,0
G69,0.2Y,35,45,1,0,43.75,1,0,0
G69,0.2Y,8,72,1,0,10,1,0,0
G69,0.2Y,34,46,1,0,42.5,1,0,0
G69,0.2Y,43,37,1,0,53.75,1,0,0
G69,0.2Y,26,54,1,0,32.5,1,0,0
G69,0.2Y,29,51,1,0,36.25,1,0,0
G69,0.2Y,26,54,1,0,32.5,1,0,0
G69,1Y,45,35,1,1,56.25,0,1,0
G69,1Y,39,41,1,1,48.75,0,1,0
G69,1Y,21,59,1,1,26.25,0,1,0
G69,1Y,37,43,1,1,46.25,0,1,0
G69,1Y,59,21,1,1,73.75,0,1,0
G69,1Y,48,32,1,1,60,0,1,0
G69,1Y,57,23,1,1,71.25,0,1,0
G69,1Y,48,32,1,1,60,0,1,0
G69,1Y,42,38,1,1,52.5,0,1,0
G69,1Y,41,39,1,1,51.25,0,1,0
G69,2Y,46,34,1,2,57.5,0,0,1
G69,2Y,32,48,1,2,40,0,0,1
G69,2Y,39,41,1,2,48.75,0,0,1
G69,2Y,30,50,1,2,37.5,0,0,1
G69,2Y,11,69,1,2,13.75,0,0,1
G69,2Y,25,55,1,2,31.25,0,0,1
G69,2Y,17,63,1,2,21.25,0,0,1
G69,2Y,48,32,1,2,60,0,0,1
G69,2Y,15,65,1,2,18.75,0,0,1
G69,2Y,14,66,1,2,17.5,0,0,1
W,0.2Y,30,50,0,0,37.5,1,0,0
W,0.2Y,36,44,0,0,45,1,0,0
W,0.2Y,45,35,0,0,56.25,1,0,0
W,0.2Y,38,42,0,0,47.5,1,0,0
W,0.2Y,38,42,0,0,47.5,1,0,0
W,0.2Y,39,41,0,0,48.75,1,0,0
W,0.2Y,39,41,0,0,48.75,1,0,0
W,0.2Y,38,42,0,0,47.5,1,0,0
W,0.2Y,32,48,0,0,40,1,0,0
W,0.2Y,32,48,0,0,40,1,0,0
W,1Y,52,28,0,1,65,0,1,0
W,1Y,35,45,0,1,43.75,0,1,0
W,1Y,50,30,0,1,62.5,0,1,0
W,1Y,51,29,0,1,63.75,0,1,0
W,1Y,43,37,0,1,53.75,0,1,0
W,1Y,31,49,0,1,38.75,0,1,0
W,1Y,55,25,0,1,68.75,0,1,0
W,1Y,35,45,0,1,43.75,0,1,0
W,1Y,48,32,0,1,60,0,1,0
W,1Y,49,31,0,1,61.25,0,1,0
W,2Y,48,32,0,2,60,0,0,1
W,2Y,48,32,0,2,60,0,0,1
W,2Y,54,26,0,2,67.5,0,0,1
W,2Y,41,39,0,2,51.25,0,0,1
W,2Y,45,35,0,2,56.25,0,0,1
W,2Y,51,29,0,2,63.75,0,0,1
W,2Y,40,40,0,2,50,0,0,1
W,2Y,33,47,0,2,41.25,0,0,1
W,2Y,49,31,0,2,61.25,0,0,1
W,2Y,34,46,0,2,42.5,0,0,1
