day,event,trial,genotype,RU
9,1,A,foxonullS106Foxo,A
9,1,A,foxonullS106Foxo,A
11,1,A,foxonullS106Foxo,A
11,1,A,foxonullS106Foxo,A
16,1,A,foxonullS106Foxo,A
18,1,A,foxonullS106Foxo,A
21,1,A,foxonullS106Foxo,A
23,1,A,foxonullS106Foxo,A
26,1,A,foxonullS106Foxo,A
28,1,A,foxonullS106Foxo,A
35,1,A,foxonullS106Foxo,A
35,1,A,foxonullS106Foxo,A
35,1,A,foxonullS106Foxo,A
39,1,A,foxonullS106Foxo,A
39,1,A,foxonullS106Foxo,A
39,1,A,foxonullS106Foxo,A
39,1,A,foxonullS106Foxo,A
39,1,A,foxonullS106Foxo,A
39,1,A,foxonullS106Foxo,A
39,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
42,1,A,foxonullS106Foxo,A
44,1,A,foxonullS106Foxo,A
44,1,A,foxonullS106Foxo,A
44,1,A,foxonullS106Foxo,A
44,1,A,foxonullS106Foxo,A
46,1,A,foxonullS106Foxo,A
46,1,A,foxonullS106Foxo,A
46,1,A,foxonullS106Foxo,A
46,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
49,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
51,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
53,1,A,foxonullS106Foxo,A
56,1,A,foxonullS106Foxo,A
56,1,A,foxonullS106Foxo,A
56,1,A,foxonullS106Foxo,A
56,1,A,foxonullS106Foxo,A
