ID,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
1,1,1,female,29,0,0,24160,211.3375,B5,S,2, ,"St Louis, MO"
2,1,1,male,0.9167,1,2,113781,151.55,C22 C26,S,11, ,"Montreal, PQ / Chesterville, ON"
3,1,0,female,2,1,2,113781,151.55,C22 C26,S, , ,"Montreal, PQ / Chesterville, ON"
4,1,0,male,30,1,2,113781,151.55,C22 C26,S, ,135,"Montreal, PQ / Chesterville, ON"
5,1,0,female,25,1,2,113781,151.55,C22 C26,S, , ,"Montreal, PQ / Chesterville, ON"
6,1,1,male,48,0,0,19952,26.55,E12,S,3, ,"New York, NY"
7,1,1,female,63,1,0,13502,77.9583,D7,S,10, ,"Hudson, NY"
8,1,0,male,39,0,0,112050,0,A36,S, , ,"Belfast, NI"
9,1,1,female,53,2,0,11769,51.4792,C101,S,D, ,"Bayside, Queens, NY"
10,1,0,male,71,0,0,PC 17609,49.5042, ,C, ,22,"Montevideo, Uruguay"
11,1,0,male,47,1,0,PC 17757,227.525,C62 C64,C, ,124,"New York, NY"
12,1,1,female,18,1,0,PC 17757,227.525,C62 C64,C,4, ,"New York, NY"
13,1,1,female,24,0,0,PC 17477,69.3,B35,C,9, ,"Paris, France"
14,1,1,female,26,0,0,19877,78.85, ,S,6, , 
15,1,1,male,80,0,0,27042,30,A23,S,B, ,"Hessle, Yorks"
16,1,0,male, ,0,0,PC 17318,25.925, ,S, , ,"New York, NY"
17,1,0,male,24,0,1,PC 17558,247.5208,B58 B60,C, , ,"Montreal, PQ"
18,1,1,female,50,0,1,PC 17558,247.5208,B58 B60,C,6, ,"Montreal, PQ"
19,1,1,female,32,0,0,11813,76.2917,D15,C,8, , 
20,1,0,male,36,0,0,13050,75.2417,C6,C,A, ,"Winnipeg, MN"
21,1,1,male,37,1,1,11751,52.5542,D35,S,5, ,"New York, NY"
22,1,1,female,47,1,1,11751,52.5542,D35,S,5, ,"New York, NY"
23,1,1,male,26,0,0,111369,30,C148,C,5, ,"New York, NY"
